timestamp,closed_at,source,market,direction,outcome,amount,entry_price,sell_price,result,won,pnl,winning_outcome,condition_id,token_id
2026-04-24T03:11:10.738274+00:00,2026-04-24T03:21:15.739098+00:00,momentum,"Bitcoin Up or Down - April 23, 11:10PM-11:15PM ET",DOWN,Down,2.0,0.59,,WIN,YES,1.3898305084745766,Down,0x76aef6dca4ae8346fadd7b5e825ea0b03eeaff14fdb76bc6c2d4ddaa8a20409f,61082705452910752582309428008759333028933361813664251211071416376255458923216
2026-04-24T03:11:10.821433+00:00,2026-04-24T03:21:15.915313+00:00,momentum,"Solana Up or Down - April 23, 11:10PM-11:15PM ET",DOWN,Down,2.0,0.51,,WIN,YES,1.9215686274509802,Down,0x17d248e1ffe1b6d098d239765eece09e9708b50c31242f656a88a68d8d2791d5,83933102478599228698439025696754237024304430106374964307367051610564348941564
2026-04-24T03:11:10.847771+00:00,2026-04-24T03:21:16.130494+00:00,momentum,"XRP Up or Down - April 23, 11:10PM-11:15PM ET",DOWN,Down,2.0,0.54,,WIN,YES,1.7037037037037033,Down,0x9df2dd4e03afc53e1ee7a49eb95caa3e704f9963b80d631810882e34e8c7990b,72816345856298716002474489605039091521626997656001591287051927210518580618977
2026-04-24T03:11:10.916871+00:00,2026-04-24T03:21:16.337013+00:00,momentum,"Ethereum Up or Down - April 23, 11:10PM-11:15PM ET",DOWN,Down,2.0,0.58,,WIN,YES,1.4482758620689657,Down,0x9d87bc65230235e17a9d5668383f02ad390af59e9d687d7491a7fc69d2dfe346,97232249438231722789484599271978265233921079761626383158303617460066336369720
2026-04-24T03:15:00.849732+00:00,2026-04-24T03:24:16.466782+00:00,momentum,"Ethereum Up or Down - April 23, 11:15PM-11:20PM ET",UP,Up,2.0,0.515,,LOSS,NO,-2.0,Down,0xd83b2d2e1e3831dc99a391bef048ac37ca0882e5ea02e77a28688fd516e183a9,2385057472049473050415270253558293361443182973077853974138006332550362552864
2026-04-24T03:15:33.456227+00:00,2026-04-24T03:24:16.784392+00:00,momentum,"Solana Up or Down - April 23, 11:15PM-11:20PM ET",DOWN,Down,4.0,0.52,,WIN,YES,3.6923076923076916,Down,0x705281dee7a93a7abc64553e797bbbf8ab598d6b1c3bd79200e4211455f8a12b,100040434364039547502885203922585484179837466440917865292158625497422446971497
2026-04-24T03:15:00.850329+00:00,2026-04-24T03:25:17.228366+00:00,momentum,"XRP Up or Down - April 23, 11:15PM-11:20PM ET",UP,Up,2.0,0.51,,LOSS,NO,-2.0,Down,0xd778852ee2b558941208ebe4e9e20ea2f13b3361e6c18f866286d34f5986f083,10804872250535829348151492271805030399948283993742637554558303844844890811742
2026-04-24T03:15:02.905808+00:00,2026-04-24T03:25:17.255111+00:00,momentum,"Bitcoin Up or Down - April 23, 11:15PM-11:20PM ET",UP,Up,2.0,0.51,,LOSS,NO,-2.0,Down,0x5c968ecc5c24c2c84d2bbc14f3e59dde72d5edea4385157bf62c224730805fe6,72376061935106566797360360612106888064508888634798811459304685464442540480212
2026-04-24T03:20:02.069381+00:00,2026-04-24T03:29:19.384374+00:00,momentum,"Solana Up or Down - April 23, 11:20PM-11:25PM ET",UP,Up,2.0,0.52,,LOSS,NO,-2.0,Down,0x1d5b6d27c50561f5ecc33409450b9dd648dee7635122d99c5b541dc7b2052b84,32082884899468745498749683041486315441543990006293346905074171076237632132068
2026-04-24T03:20:01.019708+00:00,2026-04-24T03:30:19.776198+00:00,momentum,"XRP Up or Down - April 23, 11:20PM-11:25PM ET",UP,Up,4.0,0.51,,LOSS,NO,-4.0,Down,0xd6ba3d421021b3fb5f00bc7ba78d85a8d49637590be5c353277cd209488d79b0,62045509122285422533084708104240459315995358155744694181129360566698551909839
2026-04-24T03:20:02.070397+00:00,2026-04-24T03:30:19.918520+00:00,momentum,"Bitcoin Up or Down - April 23, 11:20PM-11:25PM ET",UP,Up,4.0,0.51,,LOSS,NO,-4.0,Down,0xb57e1ce2bf2aee7d65a7328f88c7c326774c165095718ef0b36acf877423fbc1,17182327628980926158268952533555024066337146145195959624325748387154725664596
