Market,Question,Duration,Side,Entry,Outcome,Won,P/L,Edge,Trades,Resolved At
MKT-263442,"Solana Up or Down - April 11, 9:30AM-9:45AM ET",15,DOWN,0.5500,UP,N,-0.5402,26.7,,2026-04-11T13:50:09.921480Z
MKT-88BAD1,"Bitcoin Up or Down - April 11, 9:15AM-9:30AM ET",15,UP,0.5700,UP,Y,1.3354,43.0,,2026-04-11T13:35:31.340828Z
MKT-66A68D,"Ethereum Up or Down - April 11, 9:15AM-9:30AM ET",15,UP,0.6000,UP,Y,1.1756,39.9,,2026-04-11T13:35:20.791086Z
MKT-1C7333,"Solana Up or Down - April 11, 9:00AM-9:15AM ET",15,DOWN,0.8200,DOWN,Y,0.2448,80.4,,2026-04-11T13:21:24.885875Z
MKT-DBEA14,"XRP Up or Down - April 11, 9:00AM-9:15AM ET",15,DOWN,0.7000,DOWN,Y,0.4690,66.4,,2026-04-11T13:20:11.289624Z
MKT-C7141E,"Bitcoin Up or Down - April 11, 8:45AM-9:00AM ET",15,DOWN,0.5300,DOWN,Y,0.8543,35.7,,2026-04-11T13:05:53.756574Z
MKT-3A169B,"Ethereum Up or Down - April 11, 8:45AM-9:00AM ET",15,DOWN,0.5600,DOWN,Y,0.7410,39.5,,2026-04-11T13:05:43.287206Z
MKT-820BA7,"XRP Up or Down - April 11, 8:45AM-9:00AM ET",15,DOWN,0.6100,DOWN,Y,0.8413,55.8,,2026-04-11T13:05:32.469564Z
MKT-7E36B6,"Solana Up or Down - April 11, 8:45AM-9:00AM ET",15,DOWN,0.8500,DOWN,Y,0.2453,84.4,,2026-04-11T13:05:11.140769Z
MKT-52BC30,"Solana Up or Down - April 11, 8:30AM-8:45AM ET",15,UP,0.3800,UP,Y,2.3948,60.3,,2026-04-11T12:50:33.353280Z
MKT-27CBA9,"Ethereum Up or Down - April 11, 8:30AM-8:45AM ET",15,UP,0.8200,UP,Y,0.2343,12.7,,2026-04-11T12:50:12.423964Z
MKT-23E53A,"Bitcoin Up or Down - April 11, 8:30AM-8:45AM ET",15,UP,0.4700,UP,Y,0.7412,23.0,,2026-04-11T12:50:12.344464Z
MKT-D935B0,"XRP Up or Down - April 11, 8:30AM-8:45AM ET",15,UP,0.7200,UP,Y,0.5571,27.9,,2026-04-11T12:49:50.773430Z
MKT-E28CDF,"Solana Up or Down - April 11, 8:15AM-8:30AM ET",15,UP,0.4300,UP,Y,0.7169,21.6,,2026-04-11T12:36:06.067679Z
MKT-C8502F,"Ethereum Up or Down - April 11, 8:15AM-8:30AM ET",15,UP,0.3900,DOWN,N,-1.0897,45.3,,2026-04-11T12:35:44.991395Z
MKT-2200B8,"XRP Up or Down - April 11, 8:15AM-8:30AM ET",15,UP,0.5200,DOWN,N,-1.4118,47.8,,2026-04-11T12:35:24.036995Z
MKT-9D7FDB,"Bitcoin Up or Down - April 11, 8:15AM-8:30AM ET",15,DOWN,0.6800,DOWN,Y,0.6542,65.8,,2026-04-11T12:35:13.273947Z
MKT-D2A0FC,"Bitcoin Up or Down - April 11, 8:00AM-8:15AM ET",15,DOWN,0.5400,UP,N,-1.7740,54.0,,2026-04-11T12:20:36.610281Z
MKT-86536D,"Ethereum Up or Down - April 11, 7:45AM-8:00AM ET",15,UP,0.9000,UP,Y,0.1380,10.0,,2026-04-11T12:05:38.416530Z
MKT-FEFF6C,"XRP Up or Down - April 11, 7:45AM-8:00AM ET",15,UP,0.7100,UP,Y,0.4934,28.3,,2026-04-11T12:05:27.940095Z
MKT-949052,"Solana Up or Down - April 11, 7:45AM-8:00AM ET",15,UP,0.7500,UP,Y,0.3963,23.5,,2026-04-11T12:05:27.893292Z
MKT-6114F2,"Bitcoin Up or Down - April 11, 7:45AM-8:00AM ET",15,UP,0.6800,UP,Y,0.5986,32.0,,2026-04-11T12:05:06.498775Z
MKT-F7C7E6,"Ethereum Up or Down - April 11, 7:50AM-7:55AM ET",5,UP,0.8100,UP,Y,0.2998,18.8,,2026-04-11T11:59:09.240513Z
MKT-9CE52D,"Ethereum Up or Down - April 11, 7:30AM-7:45AM ET",15,UP,0.5800,UP,Y,0.6857,26.1,,2026-04-11T11:51:23.302989Z
MKT-2F38F8,"Bitcoin Up or Down - April 11, 7:30AM-7:45AM ET",15,UP,0.5500,UP,Y,1.2380,44.6,,2026-04-11T11:50:31.075478Z
MKT-9BF5F2,"XRP Up or Down - April 11, 7:30AM-7:45AM ET",15,UP,0.5800,UP,Y,1.0418,41.9,,2026-04-11T11:50:20.588447Z
MKT-479FAA,"Solana Up or Down - April 11, 7:30AM-7:45AM ET",15,UP,0.6400,UP,Y,0.4359,20.1,,2026-04-11T11:50:10.072674Z
MKT-8C4CDE,"XRP Up or Down - April 11, 7:15AM-7:30AM ET",15,DOWN,0.5200,DOWN,Y,1.2867,50.0,,2026-04-11T11:35:34.511784Z
MKT-3CE7E6,"Bitcoin Up or Down - April 11, 7:15AM-7:30AM ET",15,DOWN,0.5300,DOWN,Y,1.1226,44.9,,2026-04-11T11:35:23.619689Z
MKT-A53E0F,"Ethereum Up or Down - April 11, 7:15AM-7:30AM ET",15,UP,0.4800,DOWN,N,-1.1940,41.0,,2026-04-11T11:35:12.775847Z
MKT-2B2DD6,"Solana Up or Down - April 11, 7:15AM-7:30AM ET",15,DOWN,0.3100,UP,N,-0.8578,1.0,,2026-04-11T11:35:00.445122Z
MKT-D2590C,"XRP Up or Down - April 11, 7:00AM-7:15AM ET",15,UP,0.3200,UP,Y,1.6123,36.0,,2026-04-11T11:20:34.335090Z
MKT-F1BB66,"Bitcoin Up or Down - April 11, 7:00AM-7:15AM ET",15,UP,0.4900,UP,Y,0.6349,21.1,,2026-04-11T11:20:34.296857Z
MKT-DA55D0,"Solana Up or Down - April 11, 7:00AM-7:15AM ET",15,UP,0.5400,DOWN,N,-1.3939,45.3,,2026-04-11T11:20:23.697723Z
MKT-5DF90F,"Ethereum Up or Down - April 11, 7:00AM-7:15AM ET",15,UP,0.4700,UP,Y,0.4346,13.9,,2026-04-11T11:20:23.671851Z
MKT-C8575E,"Bitcoin Up or Down - April 11, 6:45AM-7:00AM ET",15,UP,0.5600,UP,Y,1.3935,44.0,,2026-04-11T11:05:04.036880Z
