status,target_timestamp,target_market,target_outcome,target_entry_price,target_usdc,target_shares,our_timestamp,our_outcome,our_entry_price,our_amount,our_result,our_pnl,condition_id
PRICE_DIFF (214.3%),1772139894,"Bitcoin Up or Down - February 26, 4:00PM-4:05PM ET",Down,0.21,1.5036,7.16,2026-02-26T21:00:37.391672+00:00,Down,0.66,2.0,OPEN,,0x85789e1fef48c0b23d6454379985ad5d9e148c746e46b47635b03ad42a767af4
PRICE_DIFF (181.2%),1772139894,"Bitcoin Up or Down - February 26, 4:00PM-4:05PM ET",Down,0.234692,9.08,38.689,2026-02-26T21:00:37.411247+00:00,Down,0.660000170000085,2.0,OPEN,,0x85789e1fef48c0b23d6454379985ad5d9e148c746e46b47635b03ad42a767af4
PRICE_DIFF (56.6%),1772139894,"Bitcoin Up or Down - February 26, 4:00PM-4:05PM ET",Up,0.737159,52.2023,70.8155,2026-02-26T21:00:49.881065+00:00,Up,0.3200001258097034,2.0,OPEN,,0x85789e1fef48c0b23d6454379985ad5d9e148c746e46b47635b03ad42a767af4
PRICE_DIFF (362.5%),1772139892,"Bitcoin Up or Down - February 26, 4:00PM-4:05PM ET",Down,0.16,4.5456,28.41,2026-02-26T21:00:49.990350+00:00,Down,0.7399999999999999,2.0,OPEN,,0x85789e1fef48c0b23d6454379985ad5d9e148c746e46b47635b03ad42a767af4
MISSED,1772139892,"Bitcoin Up or Down - February 26, 4:00PM-4:05PM ET",Down,0.175449,15.3297,87.3743,,,,,,,0x85789e1fef48c0b23d6454379985ad5d9e148c746e46b47635b03ad42a767af4
MISSED,1772139890,"Bitcoin Up or Down - February 26, 4:00PM-4:05PM ET",Down,0.12,1.335,11.125,,,,,,,0x85789e1fef48c0b23d6454379985ad5d9e148c746e46b47635b03ad42a767af4
MISSED,1772139890,"Bitcoin Up or Down - February 26, 4:00PM-4:05PM ET",Down,0.12,0.6818,5.6818,,,,,,,0x85789e1fef48c0b23d6454379985ad5d9e148c746e46b47635b03ad42a767af4
MISSED,1772139890,"Bitcoin Up or Down - February 26, 4:00PM-4:05PM ET",Down,0.12,1.5492,12.91,,,,,,,0x85789e1fef48c0b23d6454379985ad5d9e148c746e46b47635b03ad42a767af4
PRICE_DIFF (177.8%),1772139890,"XRP Up or Down - February 26, 4:00PM-4:05PM ET",Down,0.09,0.7418,8.2418,2026-02-26T21:00:37.330879+00:00,Down,0.25,2.0,OPEN,,0xd43bd52e1ed85d7d4aaeb87213d1a9c8ef68e2199f2ce368846e6b69be202d5d
PRICE_DIFF (257.1%),1772139890,"XRP Up or Down - February 26, 4:00PM-4:05PM ET",Down,0.07,0.1505,2.1505,2026-02-26T21:00:49.904924+00:00,Down,0.25,2.0,OPEN,,0xd43bd52e1ed85d7d4aaeb87213d1a9c8ef68e2199f2ce368846e6b69be202d5d
PRICE_DIFF (82.5%),1772139890,"Bitcoin Up or Down - February 26, 4:00PM-4:05PM ET",Up,0.86,6.1429,7.1429,2026-02-26T21:00:37.246887+00:00,Up,0.15061201071018743,2.0,OPEN,,0x85789e1fef48c0b23d6454379985ad5d9e148c746e46b47635b03ad42a767af4
MISSED,1772139890,"Bitcoin Up or Down - February 26, 4:00PM-4:05PM ET",Down,0.12,1.1018,9.1818,,,,,,,0x85789e1fef48c0b23d6454379985ad5d9e148c746e46b47635b03ad42a767af4
MISSED,1772139890,"XRP Up or Down - February 26, 4:00PM-4:05PM ET",Up,0.84,0.945,1.125,,,,,,,0xd43bd52e1ed85d7d4aaeb87213d1a9c8ef68e2199f2ce368846e6b69be202d5d
MISSED,1772139890,"Solana Up or Down - February 26, 4:00PM-4:15PM ET",Up,0.72,3.3171,4.6071,,,,,,,0xa4d58fe96e85136eec5d5a1f6b50ec41fa8fa85a0df63ea4f9b135be17f4b5c4
MISSED,1772139890,"Bitcoin Up or Down - February 26, 4:00PM-4:05PM ET",Up,0.86,6.1429,7.1429,,,,,,,0x85789e1fef48c0b23d6454379985ad5d9e148c746e46b47635b03ad42a767af4
