status,target_timestamp,target_market,target_outcome,target_entry_price,target_usdc,target_shares,our_timestamp,our_outcome,our_entry_price,our_amount,our_result,our_pnl,condition_id
PRICE_DIFF (11.0%),1772134752,"Ethereum Up or Down - February 26, 2:30PM-2:45PM ET",Up,0.43,31.0245,72.15,2026-02-26T19:30:18.528818+00:00,Up,0.4774057744747086,2.0,OPEN,,0xb8ea672a494289665b0d18422a96d639b11e6347dd91ac162ff97cc89b3d2a93
PRICE_DIFF (18.1%),1772134752,"Ethereum Up or Down - February 26, 2:30PM-2:45PM ET",Up,0.43,31.0245,72.15,2026-02-26T19:31:13.579711+00:00,Up,0.50793599193804,2.0,OPEN,,0xb8ea672a494289665b0d18422a96d639b11e6347dd91ac162ff97cc89b3d2a93
PRICE_DIFF (43.9%),1772134752,"Ethereum Up or Down - February 26, 2:30PM-2:45PM ET",Up,0.43,31.0245,72.15,2026-02-26T19:37:27.977679+00:00,Up,0.618753542766789,2.0,OPEN,,0xb8ea672a494289665b0d18422a96d639b11e6347dd91ac162ff97cc89b3d2a93
PRICE_DIFF (48.5%),1772134752,"Ethereum Up or Down - February 26, 2:30PM-2:45PM ET",Up,0.43,31.0245,72.15,2026-02-26T19:38:30.489060+00:00,Up,0.6386731818089657,2.0,OPEN,,0xb8ea672a494289665b0d18422a96d639b11e6347dd91ac162ff97cc89b3d2a93
PRICE_DIFF (43.1%),1772134752,"Ethereum Up or Down - February 26, 2:30PM-2:45PM ET",Up,0.43,31.0245,72.15,2026-02-26T19:38:30.541980+00:00,Up,0.6154262333885638,2.0,OPEN,,0xb8ea672a494289665b0d18422a96d639b11e6347dd91ac162ff97cc89b3d2a93
PRICE_DIFF (20.9%),1772134752,"Ethereum Up or Down - February 26, 2:30PM-2:45PM ET",Up,0.43,31.0245,72.15,2026-02-26T19:38:51.137561+00:00,Up,0.52000048000192,2.0,OPEN,,0xb8ea672a494289665b0d18422a96d639b11e6347dd91ac162ff97cc89b3d2a93
PRICE_DIFF (41.6%),1772134752,"Ethereum Up or Down - February 26, 2:30PM-2:45PM ET",Up,0.43,31.0245,72.15,2026-02-26T19:38:51.287378+00:00,Up,0.6087662337662337,2.0,OPEN,,0xb8ea672a494289665b0d18422a96d639b11e6347dd91ac162ff97cc89b3d2a93
PRICE_DIFF (36.9%),1772134752,"Ethereum Up or Down - February 26, 2:30PM-2:45PM ET",Up,0.43,31.0245,72.15,2026-02-26T19:38:51.425235+00:00,Up,0.5887308789346002,2.0,OPEN,,0xb8ea672a494289665b0d18422a96d639b11e6347dd91ac162ff97cc89b3d2a93
PRICE_DIFF (6.3%),1772134752,"Ethereum Up or Down - February 26, 2:30PM-2:45PM ET",Up,0.43,31.0245,72.15,2026-02-26T19:39:12.910125+00:00,Up,0.4569984746406469,2.0,OPEN,,0xb8ea672a494289665b0d18422a96d639b11e6347dd91ac162ff97cc89b3d2a93
PRICE_DIFF (411.1%),1772134750,"XRP Up or Down - February 26, 2:35PM-2:40PM ET",Up,0.09,0.2443,2.7143,2026-02-26T19:35:28.411105+00:00,Up,0.45999999999999996,2.0,OPEN,,0x64943ea9c35e32a92c935f4e5a9bbdb5928aae4066813b2c33b63c6d10f71efc
PRICE_DIFF (425.6%),1772134750,"XRP Up or Down - February 26, 2:35PM-2:40PM ET",Up,0.09,0.2443,2.7143,2026-02-26T19:36:27.314265+00:00,Up,0.4730849164300559,2.0,OPEN,,0x64943ea9c35e32a92c935f4e5a9bbdb5928aae4066813b2c33b63c6d10f71efc
