timestamp,resolved_at,market,direction,outcome,amount,entry_price,result,won,pnl,winning_outcome,condition_id,token_id
2026-02-24T16:25:49.794583+00:00,2026-02-24T16:29:35.849943+00:00,"XRP Up or Down - February 24, 11:15AM-11:30AM ET",UP,Up,2.0,0.04,LOSS,NO,-2.0,,0x9f9f680f47cda0539076f07eaa501021cc948e27453286b0ebbc84dd955bb297,76790824470767166782091557144387664094002619136023983288489298162435874338386
2026-02-24T16:26:00.075852+00:00,2026-02-24T16:29:37.166731+00:00,"XRP Up or Down - February 24, 11:15AM-11:30AM ET",UP,Up,2.0,0.04,LOSS,NO,-2.0,,0x9f9f680f47cda0539076f07eaa501021cc948e27453286b0ebbc84dd955bb297,76790824470767166782091557144387664094002619136023983288489298162435874338386
2026-02-24T16:26:00.079177+00:00,2026-02-24T16:29:37.239285+00:00,"XRP Up or Down - February 24, 11:15AM-11:30AM ET",UP,Up,2.0,0.04,LOSS,NO,-2.0,,0x9f9f680f47cda0539076f07eaa501021cc948e27453286b0ebbc84dd955bb297,76790824470767166782091557144387664094002619136023983288489298162435874338386
2026-02-24T16:25:29.384505+00:00,2026-02-24T16:30:39.016354+00:00,"Ethereum Up or Down - February 24, 11:15AM-11:30AM",UP,Up,2.0,0.08010846803518633,LOSS,NO,-2.0,,0xfb9fc54b67a6f2a3226ca21933cc068acf036db174ed890f176c91981a6b2b91,10256469312291637959357681954951199864799647939931867503809459148068110738797
2026-02-24T16:26:57.441400+00:00,2026-02-24T16:30:48.029401+00:00,"XRP Up or Down - February 24, 11:15AM-11:30AM ET",UP,Up,2.0,0.03,LOSS,NO,-2.0,,0x9f9f680f47cda0539076f07eaa501021cc948e27453286b0ebbc84dd955bb297,76790824470767166782091557144387664094002619136023983288489298162435874338386
2026-02-24T16:26:57.445444+00:00,2026-02-24T16:30:48.108575+00:00,"Ethereum Up or Down - February 24, 11:15AM-11:30AM",UP,Up,2.0,0.02,LOSS,NO,-2.0,,0xfb9fc54b67a6f2a3226ca21933cc068acf036db174ed890f176c91981a6b2b91,10256469312291637959357681954951199864799647939931867503809459148068110738797
2026-02-24T16:27:07.646230+00:00,2026-02-24T16:30:48.630154+00:00,"Ethereum Up or Down - February 24, 11:15AM-11:30AM",UP,Up,2.0,0.02,LOSS,NO,-2.0,,0xfb9fc54b67a6f2a3226ca21933cc068acf036db174ed890f176c91981a6b2b91,10256469312291637959357681954951199864799647939931867503809459148068110738797
2026-02-24T16:27:07.669004+00:00,2026-02-24T16:30:49.054510+00:00,"Ethereum Up or Down - February 24, 11:15AM-11:30AM",UP,Up,2.0,0.02,LOSS,NO,-2.0,,0xfb9fc54b67a6f2a3226ca21933cc068acf036db174ed890f176c91981a6b2b91,10256469312291637959357681954951199864799647939931867503809459148068110738797
2026-02-24T16:27:17.923285+00:00,2026-02-24T16:30:49.892750+00:00,"Ethereum Up or Down - February 24, 11:15AM-11:30AM",UP,Up,2.0,0.02000190018051715,LOSS,NO,-2.0,,0xfb9fc54b67a6f2a3226ca21933cc068acf036db174ed890f176c91981a6b2b91,10256469312291637959357681954951199864799647939931867503809459148068110738797
2026-02-24T16:27:17.959561+00:00,2026-02-24T16:30:50.643052+00:00,"Ethereum Up or Down - February 24, 11:15AM-11:30AM",UP,Up,2.0,0.020001919103049076,LOSS,NO,-2.0,,0xfb9fc54b67a6f2a3226ca21933cc068acf036db174ed890f176c91981a6b2b91,10256469312291637959357681954951199864799647939931867503809459148068110738797
