timestamp,resolved_at,source,market,direction,outcome,amount,entry_price,result,won,pnl,winning_outcome,condition_id,token_id
2026-03-04T03:28:40.046414+00:00,2026-03-04T03:33:28.207354+00:00,momentum,"XRP Up or Down - March 3, 10:25PM-10:30PM ET",DOWN,Down,20.0,0.865,WIN,YES,3.121387283236995,Down,0xac195480a260b3fec4d0cb57341022e4d004b11a341647c2174d6f8a93840ce2,40824629265197678022977864664456713047255039090887672944734176548869934993209
2026-03-04T03:28:55.403129+00:00,2026-03-04T03:33:28.259496+00:00,momentum,"Bitcoin Up or Down - March 3, 10:15PM-10:30PM ET",DOWN,Down,20.0,0.915,WIN,YES,1.857923497267759,Down,0x9a15873d10732bd726422fc474be74237a47866dfe44d05472788d4af6805ff9,7528806190479614798665664227537116531919570053359877076368019167083223250091
2026-03-04T03:27:54.647786+00:00,2026-03-04T03:33:46.771053+00:00,momentum,"Solana Up or Down - March 3, 10:15PM-10:30PM ET",DOWN,Down,20.0,0.915,WIN,YES,1.857923497267759,Down,0x02821d60c0c9067a5f0a81d632ba5139184ee8a52da6525e3922ce851770f461,35562971943563459190442348577337606834993752391470342213113802680383970890734
2026-03-04T03:33:31.667245+00:00,2026-03-04T03:39:04.028518+00:00,momentum,"Bitcoin Up or Down - March 3, 10:30PM-10:35PM ET",DOWN,Down,20.0,0.935,WIN,YES,1.3903743315508024,Down,0xf0ece1d63ca9b28b25951dc02dbfb74c8184fe94fe434e882680d1af848d7d7e,90548544258536386066951203628082249158631994763049014303267763491854022328013
2026-03-04T03:33:31.667770+00:00,2026-03-04T03:39:31.556103+00:00,momentum,"Ethereum Up or Down - March 3, 10:30PM-10:35PM ET",DOWN,Down,20.0,0.895,WIN,YES,2.3463687150837984,Down,0x2c3fc16cb954c5371d37d461049d69c624063873c732f0cfa755b7e8495898ed,54081520945735928638613863566526924133611692953790828468570780155070439839799
2026-03-04T03:33:46.721950+00:00,2026-03-04T03:40:32.558733+00:00,momentum,"XRP Up or Down - March 3, 10:30PM-10:35PM ET",DOWN,Down,20.0,0.94,WIN,YES,1.2765957446808507,Down,0x0918542afc5dc8482fd745208e61d5a79dde7f34ce4fca19e4b83418c1c4adbe,87490266980880255252646878965662858980878383891271352115084050715027073106812
2026-03-04T03:34:03.007050+00:00,2026-03-04T03:40:32.612204+00:00,momentum,"Solana Up or Down - March 3, 10:30PM-10:35PM ET",DOWN,Down,20.0,0.94,WIN,YES,1.2765957446808507,Down,0x6e19d889fcfe123846340bf59103ad59262bca62d3118996ef264baeda8a909f,82973895761319725912466089833974033867014283579828013211161004359866981990701
2026-03-04T03:35:51.547829+00:00,2026-03-04T03:49:37.637608+00:00,momentum,"Ethereum Up or Down - March 3, 10:30PM-10:45PM ET",DOWN,Down,20.0,0.915,WIN,YES,1.857923497267759,Down,0x4a5b5df9da3487b0ff6c7501d47275e9ae32ad905fa8202782ebacb5392e0f59,68290428738488544744803290081689230114195541836485466861200361740536061719554
2026-03-04T03:36:24.836339+00:00,2026-03-04T03:49:37.687066+00:00,momentum,"Bitcoin Up or Down - March 3, 10:30PM-10:45PM ET",DOWN,Down,20.0,0.945,WIN,YES,1.1640211640211646,Down,0x9c087ad1afcd71393550d7103d772015ee995b6e224075229e66107a5164be34,97944332440691378515583716952985563090309522951575150649845618519606619940323
2026-03-04T03:39:21.944577+00:00,2026-03-04T03:49:38.156293+00:00,momentum,"Solana Up or Down - March 3, 10:30PM-10:45PM ET",DOWN,Down,20.0,0.965,WIN,YES,0.7253886010362685,Down,0xa9b382098b9519fd8c454d4c962956191f6e591817d08481564bfb55974435c5,12014613808614069309087267473786276563895060268415684761608373399784281500500
2026-03-04T03:34:33.383484+00:00,2026-03-04T03:49:39.658484+00:00,momentum,"Bitcoin Up or Down - March 3, 10:30PM-10:45PM ET",DOWN,Down,20.0,0.745,WIN,YES,6.845637583892618,Down,0x9c087ad1afcd71393550d7103d772015ee995b6e224075229e66107a5164be34,97944332440691378515583716952985563090309522951575150649845618519606619940323
2026-03-04T03:33:31.668688+00:00,2026-03-04T03:50:36.511894+00:00,momentum,"XRP Up or Down - March 3, 10:30PM-10:45PM ET",DOWN,Down,20.0,0.78,WIN,YES,5.641025641025639,Down,0xed7c788b818b8e2685c6c5ca1fa8d5c9693f0ee1aa98fa80996c70486336f239,90591113799271025659343695974458018978508808981067602367434588131415101013911
2026-03-04T03:35:20.878450+00:00,2026-03-04T03:50:36.959900+00:00,momentum,"Solana Up or Down - March 3, 10:30PM-10:45PM ET",DOWN,Down,20.0,0.93,WIN,YES,1.5053763440860202,Down,0xa9b382098b9519fd8c454d4c962956191f6e591817d08481564bfb55974435c5,12014613808614069309087267473786276563895060268415684761608373399784281500500
2026-03-04T03:35:20.879315+00:00,2026-03-04T03:50:37.008715+00:00,momentum,"XRP Up or Down - March 3, 10:30PM-10:45PM ET",DOWN,Down,20.0,0.94,WIN,YES,1.2765957446808507,Down,0xed7c788b818b8e2685c6c5ca1fa8d5c9693f0ee1aa98fa80996c70486336f239,90591113799271025659343695974458018978508808981067602367434588131415101013911
