status,target_timestamp,target_market,target_outcome,target_entry_price,target_usdc,target_shares,our_timestamp,our_outcome,our_entry_price,our_amount,our_result,our_pnl,condition_id
PRICE_DIFF (15.1%),1772228199,"XRP Up or Down - February 27, 4:35PM-4:40PM ET",Down,0.93,8.8722,9.54,2026-02-27T21:36:01.706672+00:00,Down,0.7900000829629814,5.0,OPEN,,0x67259fe3690c4ac15e99c64d7cc25692c8b41aabd2743b9386687e65ec1d1adc
UNMATCHED_WINDOW,,"Bitcoin Up or Down - February 27, 4:30PM-4:35PM ET",,,,,2026-02-27T21:31:01.662327+00:00,Down,0.7078034664436291,5.0,OPEN,,0xb035bbbce55389b8117bd6fac0c1f7f30483905264950389997e03496ffb03c5
UNMATCHED_WINDOW,,"Bitcoin Up or Down - February 27, 4:30PM-4:35PM ET",,,,,2026-02-27T21:32:04.820166+00:00,Down,0.9199999999999999,5.0,OPEN,,0xb035bbbce55389b8117bd6fac0c1f7f30483905264950389997e03496ffb03c5
UNMATCHED_WINDOW,,"Bitcoin Up or Down - February 27, 4:30PM-4:35PM ET",,,,,2026-02-27T21:32:04.846406+00:00,Down,0.92,5.0,OPEN,,0xb035bbbce55389b8117bd6fac0c1f7f30483905264950389997e03496ffb03c5
UNMATCHED_WINDOW,,"Bitcoin Up or Down - February 27, 4:30PM-4:35PM ET",,,,,2026-02-27T21:32:36.692757+00:00,Down,0.9115280524807039,5.0,OPEN,,0xb035bbbce55389b8117bd6fac0c1f7f30483905264950389997e03496ffb03c5
UNMATCHED_WINDOW,,"Bitcoin Up or Down - February 27, 4:30PM-4:35PM ET",,,,,2026-02-27T21:32:49.251806+00:00,Down,0.9299999999999999,5.0,OPEN,,0xb035bbbce55389b8117bd6fac0c1f7f30483905264950389997e03496ffb03c5
UNMATCHED_WINDOW,,"Bitcoin Up or Down - February 27, 4:30PM-4:35PM ET",,,,,2026-02-27T21:32:49.278764+00:00,Down,0.9400000000000001,5.0,OPEN,,0xb035bbbce55389b8117bd6fac0c1f7f30483905264950389997e03496ffb03c5
UNMATCHED_WINDOW,,"Bitcoin Up or Down - February 27, 4:30PM-4:35PM ET",,,,,2026-02-27T21:33:01.943507+00:00,Down,0.9199999999999999,5.0,OPEN,,0xb035bbbce55389b8117bd6fac0c1f7f30483905264950389997e03496ffb03c5
UNMATCHED_WINDOW,,"Bitcoin Up or Down - February 27, 4:30PM-4:35PM ET",,,,,2026-02-27T21:33:01.972866+00:00,Down,0.92,5.0,OPEN,,0xb035bbbce55389b8117bd6fac0c1f7f30483905264950389997e03496ffb03c5
UNMATCHED_WINDOW,,"Bitcoin Up or Down - February 27, 4:30PM-4:35PM ET",,,,,2026-02-27T21:33:02.004967+00:00,Down,0.92,5.0,OPEN,,0xb035bbbce55389b8117bd6fac0c1f7f30483905264950389997e03496ffb03c5
UNMATCHED_WINDOW,,"Bitcoin Up or Down - February 27, 4:30PM-4:35PM ET",,,,,2026-02-27T21:33:02.038114+00:00,Down,0.92,5.0,OPEN,,0xb035bbbce55389b8117bd6fac0c1f7f30483905264950389997e03496ffb03c5
UNMATCHED_WINDOW,,"Bitcoin Up or Down - February 27, 4:30PM-4:35PM ET",,,,,2026-02-27T21:33:14.615328+00:00,Down,0.9200000000000002,5.0,OPEN,,0xb035bbbce55389b8117bd6fac0c1f7f30483905264950389997e03496ffb03c5
UNMATCHED_WINDOW,,"Bitcoin Up or Down - February 27, 4:30PM-4:35PM ET",,,,,2026-02-27T21:33:27.219979+00:00,Down,0.95,5.0,OPEN,,0xb035bbbce55389b8117bd6fac0c1f7f30483905264950389997e03496ffb03c5
UNMATCHED_WINDOW,,"Bitcoin Up or Down - February 27, 4:30PM-4:35PM ET",,,,,2026-02-27T21:33:41.116105+00:00,Down,0.95,5.0,OPEN,,0xb035bbbce55389b8117bd6fac0c1f7f30483905264950389997e03496ffb03c5
UNMATCHED_WINDOW,,"Bitcoin Up or Down - February 27, 4:30PM-4:35PM ET",,,,,2026-02-27T21:34:35.130706+00:00,Down,0.95,5.0,OPEN,,0xb035bbbce55389b8117bd6fac0c1f7f30483905264950389997e03496ffb03c5
UNMATCHED_WINDOW,,"Bitcoin Up or Down - February 27, 4:30PM-4:45PM ET",,,,,2026-02-27T21:31:01.693476+00:00,Down,0.62,5.0,OPEN,,0xc3b8d7051c5009f345f21f76a02c696f35e8813879500704fd78ed8b325a130b
UNMATCHED_WINDOW,,"Bitcoin Up or Down - February 27, 4:30PM-4:45PM ET",,,,,2026-02-27T21:31:39.391913+00:00,Down,0.7857844964431019,5.0,OPEN,,0xc3b8d7051c5009f345f21f76a02c696f35e8813879500704fd78ed8b325a130b
UNMATCHED_WINDOW,,"Bitcoin Up or Down - February 27, 4:30PM-4:45PM ET",,,,,2026-02-27T21:31:52.233302+00:00,Down,0.8438102966251503,5.0,OPEN,,0xc3b8d7051c5009f345f21f76a02c696f35e8813879500704fd78ed8b325a130b
UNMATCHED_WINDOW,,"Bitcoin Up or Down - February 27, 4:30PM-4:45PM ET",,,,,2026-02-27T21:31:52.259357+00:00,Down,0.7954729289286242,5.0,OPEN,,0xc3b8d7051c5009f345f21f76a02c696f35e8813879500704fd78ed8b325a130b
UNMATCHED_WINDOW,,"Bitcoin Up or Down - February 27, 4:30PM-4:45PM ET",,,,,2026-02-27T21:32:04.875231+00:00,Down,0.7799999999999999,5.0,OPEN,,0xc3b8d7051c5009f345f21f76a02c696f35e8813879500704fd78ed8b325a130b
UNMATCHED_WINDOW,,"Bitcoin Up or Down - February 27, 4:30PM-4:45PM ET",,,,,2026-02-27T21:32:04.913030+00:00,Down,0.780000008743604,5.0,OPEN,,0xc3b8d7051c5009f345f21f76a02c696f35e8813879500704fd78ed8b325a130b
UNMATCHED_WINDOW,,"Bitcoin Up or Down - February 27, 4:30PM-4:45PM ET",,,,,2026-02-27T21:32:17.500704+00:00,Down,0.8,5.0,OPEN,,0xc3b8d7051c5009f345f21f76a02c696f35e8813879500704fd78ed8b325a130b
UNMATCHED_WINDOW,,"Bitcoin Up or Down - February 27, 4:30PM-4:45PM ET",,,,,2026-02-27T21:32:17.525906+00:00,Down,0.7954723987716918,5.0,OPEN,,0xc3b8d7051c5009f345f21f76a02c696f35e8813879500704fd78ed8b325a130b
UNMATCHED_WINDOW,,"Bitcoin Up or Down - February 27, 4:30PM-4:45PM ET",,,,,2026-02-27T21:33:27.261033+00:00,Down,0.7760852718942131,5.0,OPEN,,0xc3b8d7051c5009f345f21f76a02c696f35e8813879500704fd78ed8b325a130b
UNMATCHED_WINDOW,,"Bitcoin Up or Down - February 27, 4:30PM-4:45PM ET",,,,,2026-02-27T21:34:06.274793+00:00,Down,0.7760847769618288,5.0,OPEN,,0xc3b8d7051c5009f345f21f76a02c696f35e8813879500704fd78ed8b325a130b
UNMATCHED_WINDOW,,"Bitcoin Up or Down - February 27, 4:30PM-4:45PM ET",,,,,2026-02-27T21:34:18.835826+00:00,Down,0.7371584058164827,5.0,OPEN,,0xc3b8d7051c5009f345f21f76a02c696f35e8813879500704fd78ed8b325a130b
UNMATCHED_WINDOW,,"Bitcoin Up or Down - February 27, 4:30PM-4:45PM ET",,,,,2026-02-27T21:34:35.076987+00:00,Down,0.72,5.0,OPEN,,0xc3b8d7051c5009f345f21f76a02c696f35e8813879500704fd78ed8b325a130b
UNMATCHED_WINDOW,,"Bitcoin Up or Down - February 27, 4:30PM-4:45PM ET",,,,,2026-02-27T21:34:35.101584+00:00,Down,0.720000021599384,5.0,OPEN,,0xc3b8d7051c5009f345f21f76a02c696f35e8813879500704fd78ed8b325a130b
UNMATCHED_WINDOW,,"Bitcoin Up or Down - February 27, 4:30PM-4:45PM ET",,,,,2026-02-27T21:34:35.158258+00:00,Down,0.7200000123039745,5.0,OPEN,,0xc3b8d7051c5009f345f21f76a02c696f35e8813879500704fd78ed8b325a130b
