timestamp,resolved_at,market,direction,outcome,amount,entry_price,result,won,pnl,winning_outcome,condition_id,token_id
2026-02-24T18:33:57.862642+00:00,2026-02-24T18:35:42.407557+00:00,"XRP Up or Down - February 24, 1:30PM-1:35PM ET",DOWN,Down,2.0,0.01,LOSS,NO,-2.0,,0xf2d7729b7b57853ae01ded2a34c81d77b27384b22da765d3154ff8425fa83533,50516323894621850368462945802583111652245282877246376379250491057705636181479
2026-02-24T18:33:57.869997+00:00,2026-02-24T18:35:42.642916+00:00,"XRP Up or Down - February 24, 1:30PM-1:35PM ET",DOWN,Down,2.0,0.01,LOSS,NO,-2.0,,0xf2d7729b7b57853ae01ded2a34c81d77b27384b22da765d3154ff8425fa83533,50516323894621850368462945802583111652245282877246376379250491057705636181479
2026-02-24T18:33:57.872580+00:00,2026-02-24T18:35:42.881673+00:00,"XRP Up or Down - February 24, 1:30PM-1:35PM ET",DOWN,Down,2.0,0.01,LOSS,NO,-2.0,,0xf2d7729b7b57853ae01ded2a34c81d77b27384b22da765d3154ff8425fa83533,50516323894621850368462945802583111652245282877246376379250491057705636181479
2026-02-24T18:35:55.671550+00:00,2026-02-24T18:36:50.758125+00:00,"Ethereum Up or Down - February 24, 11:00AM-11:15AM",UP,Up,2.0,0.4875941761582041,UNKNOWN,UNKNOWN,0,,0x936d34cd9de417df6d5f2a9d92823f2a7c6dfe697f065c761d7fe7f203f3ead4,86359016915840046347262701051350250771607785618810480252105488724921425994141
2026-02-24T18:33:47.688345+00:00,2026-02-24T18:39:00.910376+00:00,"Bitcoin Up or Down - February 24, 1:30PM-1:35PM ET",DOWN,Down,2.0,0.03,LOSS,NO,-2.0,,0x6b39fa034663943f715ffd9fc6b379a60149e25059cc7c15516f60ecab5c6492,26572415557142830102455858843647117142344444591450118314259453605806423908197
2026-02-24T18:33:47.689887+00:00,2026-02-24T18:39:00.952473+00:00,"Bitcoin Up or Down - February 24, 1:30PM-1:35PM ET",DOWN,Down,2.0,0.030000000000000002,LOSS,NO,-2.0,,0x6b39fa034663943f715ffd9fc6b379a60149e25059cc7c15516f60ecab5c6492,26572415557142830102455858843647117142344444591450118314259453605806423908197
2026-02-24T18:33:57.863386+00:00,2026-02-24T18:39:01.212076+00:00,"Solana Up or Down - February 24, 1:30PM-1:35PM ET",DOWN,Down,2.0,0.1,LOSS,NO,-2.0,,0xdd7d95b94ed17f75c74c46f9997738930109bd3b245211fcacd0007322f15e0a,80647230676059331164415110092231503880253126780041289564436942190496361724032
2026-02-24T18:33:57.871795+00:00,2026-02-24T18:39:01.501525+00:00,"Ethereum Up or Down - February 24, 1:30PM-1:35PM E",DOWN,Down,2.0,0.01,LOSS,NO,-2.0,,0x1b426dcc2700059c2126da3bb6a6067fb6a76c0cfb9e843b3a036ff7846ff45c,32829742223132818023602121411547610198000414460436662985717092931126438580881
2026-02-24T18:34:08.044007+00:00,2026-02-24T18:39:01.668828+00:00,"Bitcoin Up or Down - February 24, 1:30PM-1:35PM ET",DOWN,Down,2.0,0.02,LOSS,NO,-2.0,,0x6b39fa034663943f715ffd9fc6b379a60149e25059cc7c15516f60ecab5c6492,26572415557142830102455858843647117142344444591450118314259453605806423908197
2026-02-24T18:34:18.186160+00:00,2026-02-24T18:39:01.828098+00:00,"Solana Up or Down - February 24, 1:30PM-1:35PM ET",DOWN,Down,2.0,0.08,LOSS,NO,-2.0,,0xdd7d95b94ed17f75c74c46f9997738930109bd3b245211fcacd0007322f15e0a,80647230676059331164415110092231503880253126780041289564436942190496361724032
2026-02-24T18:34:18.187221+00:00,2026-02-24T18:39:01.875462+00:00,"Bitcoin Up or Down - February 24, 1:30PM-1:35PM ET",DOWN,Down,2.0,0.02,LOSS,NO,-2.0,,0x6b39fa034663943f715ffd9fc6b379a60149e25059cc7c15516f60ecab5c6492,26572415557142830102455858843647117142344444591450118314259453605806423908197
2026-02-24T18:34:38.562252+00:00,2026-02-24T18:39:01.921893+00:00,"Solana Up or Down - February 24, 1:30PM-1:35PM ET",DOWN,Down,2.0,0.01,LOSS,NO,-2.0,,0xdd7d95b94ed17f75c74c46f9997738930109bd3b245211fcacd0007322f15e0a,80647230676059331164415110092231503880253126780041289564436942190496361724032
2026-02-24T18:35:41.619465+00:00,2026-02-24T18:43:21.664402+00:00,"XRP Up or Down - February 24, 1:35PM-1:40PM ET",UP,Up,2.0,0.38,LOSS,NO,-2.0,,0xb995032b220a438e4b6d68b555eec881b591438012824ea96c29f9cba637960e,105423201245571861479670353704249361947589438103687007969252357849121239457801
2026-02-24T18:35:41.620928+00:00,2026-02-24T18:43:21.766220+00:00,"Ethereum Up or Down - February 24, 1:35PM-1:40PM E",UP,Up,2.0,0.3800000023619048,WIN,YES,3.26315786202348,Up,0x33f4e5b28d6686e1264ffd155222ffda70c9eee6f1ef4de26d306fa5eac48120,21431513894545142209822334676674961769291072175788064143860493198433687991431
2026-02-24T18:35:41.622184+00:00,2026-02-24T18:43:21.848382+00:00,"Solana Up or Down - February 24, 1:35PM-1:40PM ET",UP,Up,2.0,0.2777595410402347,LOSS,NO,-2.0,,0xd0e81d52c1fda95d9cf765380ca1e2c14132015c9578d955e101e3df768bdfd3,20167168805294118448386796148177780474595228885333887821204744942976685787395
2026-02-24T18:35:41.624443+00:00,2026-02-24T18:43:21.984547+00:00,"Ethereum Up or Down - February 24, 1:35PM-1:40PM E",UP,Up,2.0,0.38,WIN,YES,3.2631578947368425,Up,0x33f4e5b28d6686e1264ffd155222ffda70c9eee6f1ef4de26d306fa5eac48120,21431513894545142209822334676674961769291072175788064143860493198433687991431
2026-02-24T18:35:41.626505+00:00,2026-02-24T18:43:22.106888+00:00,"Solana Up or Down - February 24, 1:35PM-1:40PM ET",UP,Up,2.0,0.43999999999999995,LOSS,NO,-2.0,,0xd0e81d52c1fda95d9cf765380ca1e2c14132015c9578d955e101e3df768bdfd3,20167168805294118448386796148177780474595228885333887821204744942976685787395
2026-02-24T18:35:41.631253+00:00,2026-02-24T18:43:22.270358+00:00,"Bitcoin Up or Down - February 24, 1:35PM-1:40PM ET",UP,Up,2.0,0.3308748309521035,WIN,YES,4.044581856664444,Up,0xb7570d4512844ec3e7841e0bd35db105ba9476b1a2d4670d269c41cc4670c9db,60055276397012018181909337253932269383210164920124652731158411397707550069944
2026-02-24T18:35:41.633149+00:00,2026-02-24T18:43:22.342024+00:00,"Ethereum Up or Down - February 24, 1:30PM-1:45PM E",UP,Up,2.0,0.7880847967215,WIN,YES,0.5377979734162754,Up,0xa53b5ddb63c8aa0cc9ced80a1bd262b4a70d1ed68b0e8a51aeaadfb8af326533,85836291850044860172991548728909892154927103908901010079053119453221538830043
2026-02-24T18:35:55.658611+00:00,2026-02-24T18:43:22.379499+00:00,"Bitcoin Up or Down - February 24, 1:35PM-1:40PM ET",UP,Up,2.0,0.44,WIN,YES,2.545454545454546,Up,0xb7570d4512844ec3e7841e0bd35db105ba9476b1a2d4670d269c41cc4670c9db,60055276397012018181909337253932269383210164920124652731158411397707550069944
2026-02-24T18:35:55.666470+00:00,2026-02-24T18:43:22.489310+00:00,"Bitcoin Up or Down - February 24, 1:35PM-1:40PM ET",UP,Up,2.0,0.44000000000000006,WIN,YES,2.545454545454545,Up,0xb7570d4512844ec3e7841e0bd35db105ba9476b1a2d4670d269c41cc4670c9db,60055276397012018181909337253932269383210164920124652731158411397707550069944
2026-02-24T18:35:55.679213+00:00,2026-02-24T18:43:22.541381+00:00,"Bitcoin Up or Down - February 24, 1:35PM-1:40PM ET",UP,Up,2.0,0.4400000746667065,WIN,YES,2.545453774104403,Up,0xb7570d4512844ec3e7841e0bd35db105ba9476b1a2d4670d269c41cc4670c9db,60055276397012018181909337253932269383210164920124652731158411397707550069944
2026-02-24T18:36:16.036931+00:00,2026-02-24T18:43:22.713221+00:00,"Bitcoin Up or Down - February 24, 1:35PM-1:40PM ET",UP,Up,2.0,0.44000000989899035,WIN,YES,2.5454544431922503,Up,0xb7570d4512844ec3e7841e0bd35db105ba9476b1a2d4670d269c41cc4670c9db,60055276397012018181909337253932269383210164920124652731158411397707550069944
2026-02-24T18:36:16.042843+00:00,2026-02-24T18:43:22.881869+00:00,"Bitcoin Up or Down - February 24, 1:35PM-1:40PM ET",UP,Up,2.0,0.44000000000000006,WIN,YES,2.545454545454545,Up,0xb7570d4512844ec3e7841e0bd35db105ba9476b1a2d4670d269c41cc4670c9db,60055276397012018181909337253932269383210164920124652731158411397707550069944
2026-02-24T18:36:26.204963+00:00,2026-02-24T18:43:23.322863+00:00,"Bitcoin Up or Down - February 24, 1:35PM-1:40PM ET",UP,Up,2.0,0.48000000000000004,WIN,YES,2.166666666666666,Up,0xb7570d4512844ec3e7841e0bd35db105ba9476b1a2d4670d269c41cc4670c9db,60055276397012018181909337253932269383210164920124652731158411397707550069944
2026-02-24T18:37:32.762380+00:00,2026-02-24T18:43:23.632459+00:00,"Bitcoin Up or Down - February 24, 1:35PM-1:40PM ET",UP,Up,2.0,0.25,WIN,YES,6.0,Up,0xb7570d4512844ec3e7841e0bd35db105ba9476b1a2d4670d269c41cc4670c9db,60055276397012018181909337253932269383210164920124652731158411397707550069944
2026-02-24T18:37:32.765100+00:00,2026-02-24T18:43:23.669828+00:00,"Ethereum Up or Down - February 24, 1:30PM-1:45PM E",UP,Up,2.0,0.8100000013811206,WIN,YES,0.46913579825904383,Up,0xa53b5ddb63c8aa0cc9ced80a1bd262b4a70d1ed68b0e8a51aeaadfb8af326533,85836291850044860172991548728909892154927103908901010079053119453221538830043
2026-02-24T18:37:42.929476+00:00,2026-02-24T18:43:23.706562+00:00,"Bitcoin Up or Down - February 24, 1:35PM-1:40PM ET",UP,Up,2.0,0.41608313544013475,WIN,YES,2.8067317073170734,Up,0xb7570d4512844ec3e7841e0bd35db105ba9476b1a2d4670d269c41cc4670c9db,60055276397012018181909337253932269383210164920124652731158411397707550069944
2026-02-24T18:37:42.934903+00:00,2026-02-24T18:43:23.836637+00:00,"Bitcoin Up or Down - February 24, 1:35PM-1:40PM ET",UP,Up,2.0,0.3340827101649907,WIN,YES,3.9865414735538884,Up,0xb7570d4512844ec3e7841e0bd35db105ba9476b1a2d4670d269c41cc4670c9db,60055276397012018181909337253932269383210164920124652731158411397707550069944
2026-02-24T18:37:53.081788+00:00,2026-02-24T18:43:23.875962+00:00,"XRP Up or Down - February 24, 1:35PM-1:40PM ET",UP,Up,2.0,0.47000000000000003,LOSS,NO,-2.0,,0xb995032b220a438e4b6d68b555eec881b591438012824ea96c29f9cba637960e,105423201245571861479670353704249361947589438103687007969252357849121239457801
2026-02-24T18:37:53.087917+00:00,2026-02-24T18:43:23.915345+00:00,"XRP Up or Down - February 24, 1:35PM-1:40PM ET",UP,Up,2.0,0.4774045444849617,LOSS,NO,-2.0,,0xb995032b220a438e4b6d68b555eec881b591438012824ea96c29f9cba637960e,105423201245571861479670353704249361947589438103687007969252357849121239457801
2026-02-24T18:37:53.166173+00:00,2026-02-24T18:43:23.950540+00:00,"Bitcoin Up or Down - February 24, 1:35PM-1:40PM ET",UP,Up,2.0,0.3648377485457162,WIN,YES,3.4818888888888884,Up,0xb7570d4512844ec3e7841e0bd35db105ba9476b1a2d4670d269c41cc4670c9db,60055276397012018181909337253932269383210164920124652731158411397707550069944
2026-02-24T18:38:09.561386+00:00,2026-02-24T18:43:24.167321+00:00,"Bitcoin Up or Down - February 24, 1:35PM-1:40PM ET",UP,Up,2.0,0.49777102719055843,WIN,YES,2.0179116315549503,Up,0xb7570d4512844ec3e7841e0bd35db105ba9476b1a2d4670d269c41cc4670c9db,60055276397012018181909337253932269383210164920124652731158411397707550069944
2026-02-24T18:38:09.570439+00:00,2026-02-24T18:43:24.205851+00:00,"XRP Up or Down - February 24, 1:35PM-1:40PM ET",UP,Up,2.0,0.5537301028377666,LOSS,NO,-2.0,,0xb995032b220a438e4b6d68b555eec881b591438012824ea96c29f9cba637960e,105423201245571861479670353704249361947589438103687007969252357849121239457801
2026-02-24T18:38:09.578676+00:00,2026-02-24T18:43:24.253003+00:00,"Bitcoin Up or Down - February 24, 1:35PM-1:40PM ET",UP,Up,2.0,0.43000003214751054,WIN,YES,2.6511624429690848,Up,0xb7570d4512844ec3e7841e0bd35db105ba9476b1a2d4670d269c41cc4670c9db,60055276397012018181909337253932269383210164920124652731158411397707550069944
2026-02-24T18:38:09.587481+00:00,2026-02-24T18:43:24.397785+00:00,"Bitcoin Up or Down - February 24, 1:35PM-1:40PM ET",UP,Up,2.0,0.4300001767002986,WIN,YES,2.6511608793918224,Up,0xb7570d4512844ec3e7841e0bd35db105ba9476b1a2d4670d269c41cc4670c9db,60055276397012018181909337253932269383210164920124652731158411397707550069944
2026-02-24T18:38:09.593275+00:00,2026-02-24T18:43:24.434360+00:00,"Bitcoin Up or Down - February 24, 1:35PM-1:40PM ET",UP,Up,2.0,0.46985691256317097,WIN,YES,2.256615038586041,Up,0xb7570d4512844ec3e7841e0bd35db105ba9476b1a2d4670d269c41cc4670c9db,60055276397012018181909337253932269383210164920124652731158411397707550069944
2026-02-24T18:38:19.810078+00:00,2026-02-24T18:43:24.640749+00:00,"Ethereum Up or Down - February 24, 1:35PM-1:40PM E",UP,Up,2.0,0.6900000090196958,WIN,YES,0.8985506867477602,Up,0x33f4e5b28d6686e1264ffd155222ffda70c9eee6f1ef4de26d306fa5eac48120,21431513894545142209822334676674961769291072175788064143860493198433687991431
2026-02-24T18:38:30.036287+00:00,2026-02-24T18:43:24.770383+00:00,"XRP Up or Down - February 24, 1:35PM-1:40PM ET",UP,Up,2.0,0.5,LOSS,NO,-2.0,,0xb995032b220a438e4b6d68b555eec881b591438012824ea96c29f9cba637960e,105423201245571861479670353704249361947589438103687007969252357849121239457801
2026-02-24T18:38:30.048787+00:00,2026-02-24T18:43:24.899778+00:00,"Ethereum Up or Down - February 24, 1:35PM-1:40PM E",UP,Up,2.0,0.6585079223568505,WIN,YES,1.0371692307692308,Up,0x33f4e5b28d6686e1264ffd155222ffda70c9eee6f1ef4de26d306fa5eac48120,21431513894545142209822334676674961769291072175788064143860493198433687991431
2026-02-24T18:38:30.052534+00:00,2026-02-24T18:43:24.947320+00:00,"Solana Up or Down - February 24, 1:35PM-1:40PM ET",UP,Up,2.0,0.40584415584415584,LOSS,NO,-2.0,,0xd0e81d52c1fda95d9cf765380ca1e2c14132015c9578d955e101e3df768bdfd3,20167168805294118448386796148177780474595228885333887821204744942976685787395
2026-02-24T18:38:40.220319+00:00,2026-02-24T18:43:24.984951+00:00,"Ethereum Up or Down - February 24, 1:35PM-1:40PM E",UP,Up,2.0,0.4977707545572549,WIN,YES,2.0179138321995467,Up,0x33f4e5b28d6686e1264ffd155222ffda70c9eee6f1ef4de26d306fa5eac48120,21431513894545142209822334676674961769291072175788064143860493198433687991431
2026-02-24T18:39:00.566806+00:00,2026-02-24T18:43:25.352487+00:00,"Bitcoin Up or Down - February 24, 1:35PM-1:40PM ET",UP,Up,2.0,0.35971466014564224,WIN,YES,3.5599624413145534,Up,0xb7570d4512844ec3e7841e0bd35db105ba9476b1a2d4670d269c41cc4670c9db,60055276397012018181909337253932269383210164920124652731158411397707550069944
2026-02-24T18:39:00.576070+00:00,2026-02-24T18:43:25.522901+00:00,"Ethereum Up or Down - February 24, 1:35PM-1:40PM E",UP,Up,2.0,0.578689603079847,WIN,YES,1.456084210526316,Up,0x33f4e5b28d6686e1264ffd155222ffda70c9eee6f1ef4de26d306fa5eac48120,21431513894545142209822334676674961769291072175788064143860493198433687991431
2026-02-24T18:39:18.772860+00:00,2026-02-24T18:43:25.677847+00:00,"Ethereum Up or Down - February 24, 1:35PM-1:40PM E",UP,Up,2.0,0.753822819089033,WIN,YES,0.6531433506044908,Up,0x33f4e5b28d6686e1264ffd155222ffda70c9eee6f1ef4de26d306fa5eac48120,21431513894545142209822334676674961769291072175788064143860493198433687991431
2026-02-24T18:39:18.776747+00:00,2026-02-24T18:43:25.717994+00:00,"Ethereum Up or Down - February 24, 1:35PM-1:40PM E",UP,Up,2.0,0.6946665646479997,WIN,YES,0.8790791176388875,Up,0x33f4e5b28d6686e1264ffd155222ffda70c9eee6f1ef4de26d306fa5eac48120,21431513894545142209822334676674961769291072175788064143860493198433687991431
2026-02-24T18:39:18.780416+00:00,2026-02-24T18:43:25.764652+00:00,"Bitcoin Up or Down - February 24, 1:35PM-1:40PM ET",UP,Up,2.0,0.2726479697178252,WIN,YES,5.335466323368863,Up,0xb7570d4512844ec3e7841e0bd35db105ba9476b1a2d4670d269c41cc4670c9db,60055276397012018181909337253932269383210164920124652731158411397707550069944
2026-02-24T18:39:18.786394+00:00,2026-02-24T18:43:25.801413+00:00,"Ethereum Up or Down - February 24, 1:35PM-1:40PM E",UP,Up,2.0,0.6000000000000001,WIN,YES,1.333333333333333,Up,0x33f4e5b28d6686e1264ffd155222ffda70c9eee6f1ef4de26d306fa5eac48120,21431513894545142209822334676674961769291072175788064143860493198433687991431
2026-02-24T18:39:28.968532+00:00,2026-02-24T18:43:25.840770+00:00,"Bitcoin Up or Down - February 24, 1:35PM-1:40PM ET",UP,Up,2.0,0.2,WIN,YES,8.0,Up,0xb7570d4512844ec3e7841e0bd35db105ba9476b1a2d4670d269c41cc4670c9db,60055276397012018181909337253932269383210164920124652731158411397707550069944
2026-02-24T18:39:28.973704+00:00,2026-02-24T18:43:25.893912+00:00,"Bitcoin Up or Down - February 24, 1:35PM-1:40PM ET",UP,Up,2.0,0.19000000182761756,WIN,YES,8.526315688220635,Up,0xb7570d4512844ec3e7841e0bd35db105ba9476b1a2d4670d269c41cc4670c9db,60055276397012018181909337253932269383210164920124652731158411397707550069944
