timestamp,closed_at,source,market,direction,outcome,amount,entry_price,sell_price,result,won,pnl,winning_outcome,condition_id,token_id
2026-04-25T16:11:55.578171+00:00,2026-04-25T16:20:59.788571+00:00,momentum,"Ethereum Up or Down - April 25, 12:10PM-12:15PM ET",UP,Up,2.0,0.51,,WIN,YES,1.9215686274509802,Up,0xce64a45a4801aaa696cef979360c3b4444552b4a2634cd508f3570e1a5372bef,24627289407795008318833823710229383883058743881239784891189167116495290540745
2026-04-25T16:11:55.618431+00:00,2026-04-25T16:21:00.009442+00:00,momentum,"XRP Up or Down - April 25, 12:10PM-12:15PM ET",UP,Up,2.0,0.62,,WIN,YES,1.2258064516129035,Up,0x1cab57bdee9b441626c704e90bf2380e49396f82d7ee44df4dafa6303ec699c4,8142572031123028366990285504748835738441680905806493822876116648796941178221
2026-04-25T16:11:55.486255+00:00,2026-04-25T16:22:00.390385+00:00,momentum,"Bitcoin Up or Down - April 25, 12:10PM-12:15PM ET",UP,Up,2.0,0.54,,WIN,YES,1.7037037037037033,Up,0x91cc95d47f7e61155e29c171324308b1d7b22933cb9827da91e5b7ad53df9196,38506429246294887032183995490599583966888474066708195200837478844894675546013
2026-04-25T16:11:55.695035+00:00,2026-04-25T16:22:00.439954+00:00,momentum,"Solana Up or Down - April 25, 12:10PM-12:15PM ET",DOWN,Down,2.0,0.51,,LOSS,NO,-2.0,Up,0x3a57be4e7dadd17bd5851fd9ed5495ec47c28926a3de15b5dcd856f53383da73,87069030443670724543764514904196280644985173747858584546816184160212620140472
2026-04-25T16:15:00.299457+00:00,2026-04-25T16:24:02.275945+00:00,momentum,"Bitcoin Up or Down - April 25, 12:15PM-12:20PM ET",UP,Up,2.0,0.515,,LOSS,NO,-2.0,Down,0x400c5fccec86e9b95e5c10bfaec1fabebf99042a1fb7021e4474447e04ff6ce9,25049933308089876143492640730086751404104450672142790515319869874880063072957
2026-04-25T16:15:00.301070+00:00,2026-04-25T16:24:02.312631+00:00,momentum,"XRP Up or Down - April 25, 12:15PM-12:20PM ET",UP,Up,2.0,0.515,,LOSS,NO,-2.0,Down,0x390d37a2118f938182871984a018f4451742944a4c73ae431037fd412db65dd8,86577539605764709881632909363005675278580986042190058192255832370666692021592
2026-04-25T16:15:00.297558+00:00,2026-04-25T16:28:04.718026+00:00,momentum,"Solana Up or Down - April 25, 12:15PM-12:20PM ET",UP,Up,2.0,0.515,,LOSS,NO,-2.0,Down,0x812057bbe30a8026076ddd112a936a29db2af0377c4ad450f3a3b0066296162d,44784791181248044455465246690874718126072340035973899590590074369449995760269
2026-04-25T16:15:00.298348+00:00,2026-04-25T16:28:04.848316+00:00,momentum,"Ethereum Up or Down - April 25, 12:15PM-12:20PM ET",UP,Up,2.0,0.515,,LOSS,NO,-2.0,Down,0xf2ebf6b747c9c5ee0faeb4817da7594169ed7f096e55aeb48f5ba2aa2855620b,39135453382722942862405582473871863328684426753963600695792492814703516382046
2026-04-25T16:20:00.807696+00:00,2026-04-25T16:30:06.096017+00:00,momentum,"Bitcoin Up or Down - April 25, 12:20PM-12:25PM ET",UP,Up,4.0,0.51,,WIN,YES,3.8431372549019605,Up,0x85fe9b83aeca5bf5267174c522fbaf0efe6a1d77c6bc24a18054afb7618ea8a8,40814904931387390159044953433442802843980901233002023013559878104370999944708
2026-04-25T16:20:00.808431+00:00,2026-04-25T16:30:06.147841+00:00,momentum,"Solana Up or Down - April 25, 12:20PM-12:25PM ET",UP,Up,4.0,0.51,,LOSS,NO,-4.0,Down,0x5d399bfa120891c41d8dbcc46aa6d9b5beb33b5cfd72c07b59d479cf0e01ece0,56448157705200978872903336544269446033114921916689700771823867385402542426892
