timestamp,market,slug,outcome,outcome_index,amount,price,won,pnl,winning_outcome,winning_index,condition_id,token_id
2026-02-24T03:20:53.531981+00:00,"Bitcoin Up or Down - February 23, 10:20PM-10:25PM ",btc-updown-5m-1771903200,Up,0,2.0,0.6557437539216245,YES,1.049971864831583,Up,,0xf58459d33c694e822e6385f8906a0126f14d0baf6bd9030f49881a5fd7a5d326,18862452912937685854978495886540360099397735719483934654391446251351825970669
2026-02-24T03:21:03.836864+00:00,"Ethereum Up or Down - February 23, 10:20PM-10:25PM",eth-updown-5m-1771903200,Down,1,2.0,0.44677729898230495,NO,-2.0,,,0xe5a7894d5538a688b84db1a4bd0e8a1c46c933264a0ec5fd12bdcb9cf78dc9e4,16931215656328713130252087740291485441451390222858314198002717966456866952312
2026-02-24T03:21:03.838149+00:00,"Ethereum Up or Down - February 23, 10:20PM-10:25PM",eth-updown-5m-1771903200,Down,1,2.0,0.4569938587161628,NO,-2.0,,,0xe5a7894d5538a688b84db1a4bd0e8a1c46c933264a0ec5fd12bdcb9cf78dc9e4,16931215656328713130252087740291485441451390222858314198002717966456866952312
2026-02-24T03:21:03.838517+00:00,"Bitcoin Up or Down - February 23, 10:20PM-10:25PM ",btc-updown-5m-1771903200,Down,1,2.0,0.40584415584415584,YES,2.928,Down,,0xf58459d33c694e822e6385f8906a0126f14d0baf6bd9030f49881a5fd7a5d326,25194789791101882504328553608207857869390871831151207386939487646706998551560
2026-02-24T03:21:03.838903+00:00,"Bitcoin Up or Down - February 23, 10:20PM-10:25PM ",btc-updown-5m-1771903200,Up,0,2.0,0.6,YES,1.3333333333333335,Up,,0xf58459d33c694e822e6385f8906a0126f14d0baf6bd9030f49881a5fd7a5d326,18862452912937685854978495886540360099397735719483934654391446251351825970669
2026-02-24T03:21:03.839152+00:00,"Solana Up or Down - February 23, 10:20PM-10:25PM E",sol-updown-5m-1771903200,Down,1,2.0,0.48758685140790703,YES,2.1018333333333334,Down,,0x0c67192af04ad62e9730155e0b6113470ef6e5a17adaddde3fcd837f4324794a,59569012301225018188791041810731853118556298169520386398622143068252413082378
2026-02-24T03:21:03.839906+00:00,"Bitcoin Up or Down - February 23, 10:20PM-10:25PM ",btc-updown-5m-1771903200,Up,0,2.0,0.6399999999999999,YES,1.1250000000000004,Up,,0xf58459d33c694e822e6385f8906a0126f14d0baf6bd9030f49881a5fd7a5d326,18862452912937685854978495886540360099397735719483934654391446251351825970669
2026-02-24T03:21:13.962053+00:00,"Solana Up or Down - February 23, 10:20PM-10:25PM E",sol-updown-5m-1771903200,Down,1,2.0,0.45,YES,2.4444444444444446,Down,,0x0c67192af04ad62e9730155e0b6113470ef6e5a17adaddde3fcd837f4324794a,59569012301225018188791041810731853118556298169520386398622143068252413082378
2026-02-24T03:21:13.962748+00:00,"Bitcoin Up or Down - February 23, 10:20PM-10:25PM ",btc-updown-5m-1771903200,Down,1,2.0,0.41608601224130815,YES,2.8066984737763896,Down,,0xf58459d33c694e822e6385f8906a0126f14d0baf6bd9030f49881a5fd7a5d326,25194789791101882504328553608207857869390871831151207386939487646706998551560
2026-02-24T03:21:24.089851+00:00,"Bitcoin Up or Down - February 23, 10:20PM-10:25PM ",btc-updown-5m-1771903200,Down,1,2.0,0.36,YES,3.5555555555555554,Down,,0xf58459d33c694e822e6385f8906a0126f14d0baf6bd9030f49881a5fd7a5d326,25194789791101882504328553608207857869390871831151207386939487646706998551560
