timestamp,resolved_at,source,market,direction,outcome,amount,entry_price,result,won,pnl,winning_outcome,condition_id,token_id
2026-03-05T01:23:30.701552+00:00,2026-03-05T01:29:36.485118+00:00,momentum,"Bitcoin Up or Down - March 4, 8:20PM-8:25PM ET",DOWN,Down,50.0,0.875,WIN,YES,7.142857142857146,Down,0x3455a08d132b08ae5f920a23508b65167aecbcf8bd78e282538420f9cb7deb6e,24019010540385607302901346214453182319000342027311147355584807719784671168130
2026-03-05T01:23:49.359168+00:00,2026-03-05T01:29:36.532118+00:00,momentum,"XRP Up or Down - March 4, 8:20PM-8:25PM ET",DOWN,Down,50.0,0.925,WIN,YES,4.054054054054049,Down,0x8ea03a96faaac553c3ff7d61a3a14efe4d88eed91db93eccaf1f63eaad448f26,91299440695877214214391115909007582425685835546491187741952348860092405787867
2026-03-05T01:18:48.315805+00:00,2026-03-05T01:34:44.432511+00:00,momentum,"Ethereum Up or Down - March 4, 8:15PM-8:30PM ET",DOWN,Down,50.0,0.765,WIN,YES,15.359477124183002,Down,0xc48922f033486fd618a7df5d2ef3d2140660e106c83956b3bf284a25585c2930,49727241631649234956118445942850616151410684694140139858437116764478455274311
2026-03-05T01:22:52.772189+00:00,2026-03-05T01:35:56.843321+00:00,momentum,"Ethereum Up or Down - March 4, 8:15PM-8:30PM ET",DOWN,Down,50.0,0.97,WIN,YES,1.5463917525773212,Down,0xc48922f033486fd618a7df5d2ef3d2140660e106c83956b3bf284a25585c2930,49727241631649234956118445942850616151410684694140139858437116764478455274311
2026-03-05T01:24:27.759524+00:00,2026-03-05T01:35:56.894300+00:00,momentum,"Solana Up or Down - March 4, 8:15PM-8:30PM ET",DOWN,Down,50.0,0.975,WIN,YES,1.2820512820512846,Down,0x247be78f67e2101a867e67e248155c1c073dd4022f45d83f90c8b16c9930ac80,50543716126308613459641429358574606142393544458890009231682273142845117135831
2026-03-05T01:25:06.717301+00:00,2026-03-05T01:35:57.177687+00:00,momentum,"XRP Up or Down - March 4, 8:15PM-8:30PM ET",DOWN,Down,50.0,0.965,WIN,YES,1.813471502590673,Down,0xc948a87da9cf2c3174e00e2aabc8952d9e722e60dc2a667f993b7ee406864442,44763243557963594165356607175288512821327989827348251987478040931606399113754
2026-03-05T01:26:42.340509+00:00,2026-03-05T01:35:57.244505+00:00,momentum,"Bitcoin Up or Down - March 4, 8:15PM-8:30PM ET",DOWN,Down,50.0,0.935,WIN,YES,3.475935828876999,Down,0xce7f7695c39ee0258a45c4b977de41ebc88e929f4ecf66ada76ec7c7fe8851c6,29381232678865284030620109681744499677361157065699849600260862021303928429761
2026-03-05T01:24:47.779827+00:00,2026-03-05T01:36:00.624753+00:00,momentum,"Bitcoin Up or Down - March 4, 8:15PM-8:30PM ET",DOWN,Down,50.0,0.915,WIN,YES,4.644808743169399,Down,0xce7f7695c39ee0258a45c4b977de41ebc88e929f4ecf66ada76ec7c7fe8851c6,29381232678865284030620109681744499677361157065699849600260862021303928429761
2026-03-05T01:39:48.283939+00:00,2026-03-05T01:49:02.469194+00:00,momentum,"Bitcoin Up or Down - March 4, 8:30PM-8:45PM ET",DOWN,Down,50.0,0.775,WIN,YES,14.516129032258064,Down,0x337269cc044e2fb3e92c942454043549b6151be3375b753fdb91b56457b70be6,30069694415222765150101114596220342381096431980551112636373842325447783284177
2026-03-05T01:39:29.446902+00:00,2026-03-05T01:50:02.726917+00:00,momentum,"Solana Up or Down - March 4, 8:30PM-8:45PM ET",DOWN,Down,50.0,0.795,WIN,YES,12.893081761006286,Down,0xc2c38917dc69f42eafc8fde3cbef1e681d1bb0c63f7c343983e5ce2a88cdbed3,105700602787128509601144174811757404074042825804869646583313261988538544883011
2026-03-05T01:41:05.738731+00:00,2026-03-05T01:50:02.786781+00:00,momentum,"XRP Up or Down - March 4, 8:30PM-8:45PM ET",DOWN,Down,50.0,0.775,WIN,YES,14.516129032258064,Down,0x8408af7b01217435c021c2d4c02b5350c0c4b3e3157bb1df148dfa732a286cf5,52414387546061437017297138512039645024353775648746935721286219351854358231352
2026-03-05T01:43:38.653542+00:00,2026-03-05T01:51:03.026273+00:00,momentum,"Bitcoin Up or Down - March 4, 8:30PM-8:45PM ET",DOWN,Down,50.0,0.985,WIN,YES,0.7614213197969519,Down,0x337269cc044e2fb3e92c942454043549b6151be3375b753fdb91b56457b70be6,30069694415222765150101114596220342381096431980551112636373842325447783284177
2026-03-05T01:52:55.794253+00:00,2026-03-05T02:06:15.417684+00:00,momentum,"Ethereum Up or Down - March 4, 8:45PM-9:00PM ET",DOWN,Down,50.0,0.75,WIN,YES,16.66666666666667,Down,0x9aaebc34eb2f7b3c42b20fa9b28fb374272f22637eef3611ded4dd9cb2ca617d,26640390101691614626565045315311886602670012546595952124942324646393547563621
2026-03-05T01:52:55.795414+00:00,2026-03-05T02:06:15.478756+00:00,momentum,"Solana Up or Down - March 4, 8:45PM-9:00PM ET",DOWN,Down,50.0,0.715,WIN,YES,19.930069930069934,Down,0xe89edf9cca88cba0dbb39bd9becfb3651e839344d1881647aad1800ea2b03853,63173668810972733144260797361349020273662675645607958562406812295604584170422
2026-03-05T01:53:34.267641+00:00,2026-03-05T02:06:15.732687+00:00,momentum,"Bitcoin Up or Down - March 4, 8:45PM-9:00PM ET",DOWN,Down,50.0,0.705,WIN,YES,20.921985815602838,Down,0xd2ed33ed1fffa7ede75045a5a3bb77dc47af9f94e30994fcd4a70a15c02a65f1,54574748361876183693036257504051242371633917697696079084041252458467648435379
2026-03-05T01:58:43.557842+00:00,2026-03-05T02:06:15.980656+00:00,momentum,"Solana Up or Down - March 4, 8:45PM-9:00PM ET",DOWN,Down,50.0,0.92,WIN,YES,4.347826086956516,Down,0xe89edf9cca88cba0dbb39bd9becfb3651e839344d1881647aad1800ea2b03853,63173668810972733144260797361349020273662675645607958562406812295604584170422
2026-03-05T01:58:43.559010+00:00,2026-03-05T02:06:16.037303+00:00,momentum,"XRP Up or Down - March 4, 8:55PM-9:00PM ET",DOWN,Down,50.0,0.865,LOSS,NO,-50.0,Up,0x9f4d962adbde49c89954f9c950d7d4735be84cccb2933cba5b0b3406f7ca875b,5469249869750700925144916302760266419961686165750508499640243643377541544377
2026-03-05T01:59:02.109969+00:00,2026-03-05T02:06:16.094188+00:00,momentum,"Ethereum Up or Down - March 4, 8:45PM-9:00PM ET",DOWN,Down,50.0,0.905,WIN,YES,5.248618784530386,Down,0x9aaebc34eb2f7b3c42b20fa9b28fb374272f22637eef3611ded4dd9cb2ca617d,26640390101691614626565045315311886602670012546595952124942324646393547563621
2026-03-05T02:08:49.955401+00:00,2026-03-05T02:19:24.669935+00:00,momentum,"Bitcoin Up or Down - March 4, 9:00PM-9:15PM ET",UP,Up,50.0,0.775,WIN,YES,14.516129032258064,Up,0x5b4ebbc6faaca5d5b4a76d11797d3e6aa882c4a3021750ab1a7cb8919d781d69,101563583141262123068500776325773127545164305763896742321621732378008349559805
2026-03-05T02:09:30.008220+00:00,2026-03-05T02:19:45.580066+00:00,momentum,"Ethereum Up or Down - March 4, 9:00PM-9:15PM ET",UP,Up,50.0,0.915,WIN,YES,4.644808743169399,Up,0xc9c19887bb7106deec9641601de416fd09f7a115e19e96b467ca600a76c7293c,90227194675838761163931901930325486804769144142389650963265624284333725615367
2026-03-05T02:10:26.338664+00:00,2026-03-05T02:19:45.641329+00:00,momentum,"XRP Up or Down - March 4, 9:00PM-9:15PM ET",UP,Up,50.0,0.985,WIN,YES,0.7614213197969519,Up,0x40c94e3308b15d85d523c23702cfaf7558c86acea5d124ce6096021c5b1e395d,44369238436292229684478710047110079744122297563436748140548638333160487760524
2026-03-05T02:10:47.186710+00:00,2026-03-05T02:19:45.690048+00:00,momentum,"Bitcoin Up or Down - March 4, 9:00PM-9:15PM ET",UP,Up,50.0,0.945,WIN,YES,2.9100529100529116,Up,0x5b4ebbc6faaca5d5b4a76d11797d3e6aa882c4a3021750ab1a7cb8919d781d69,101563583141262123068500776325773127545164305763896742321621732378008349559805
2026-03-05T02:11:24.351469+00:00,2026-03-05T02:19:45.977390+00:00,momentum,"Ethereum Up or Down - March 4, 9:00PM-9:15PM ET",UP,Up,50.0,0.985,WIN,YES,0.7614213197969519,Up,0xc9c19887bb7106deec9641601de416fd09f7a115e19e96b467ca600a76c7293c,90227194675838761163931901930325486804769144142389650963265624284333725615367
