timestamp,closed_at,source,market,direction,outcome,amount,entry_price,sell_price,result,won,pnl,winning_outcome,condition_id,token_id
2026-04-16T23:41:28.572261+00:00,2026-04-16T23:50:33.926664+00:00,contrarian,"Ethereum Up or Down - April 16, 7:40PM-7:45PM ET",UP,Up,2.0,0.27,,LOSS,NO,-2.0,Down,0x3b473a4e55c0c6d4a17d08a29b4125eee7d64c4c19ac277156bc52fa15ec8ab0,99775725796692087727779273113796444303024516426190386888609493839431164702088
2026-04-16T23:41:28.698629+00:00,2026-04-16T23:50:34.009263+00:00,contrarian,"Bitcoin Up or Down - April 16, 7:40PM-7:45PM ET",UP,Up,2.0,0.3,,LOSS,NO,-2.0,Down,0x58341d431d9cd41985e2326753d926133acb2a444e3bb0fe4a038573a68e260a,79859181409162848061874439497191692855612628330930976531663367179660192384492
2026-04-16T23:41:28.741525+00:00,2026-04-16T23:50:34.194198+00:00,contrarian,"Solana Up or Down - April 16, 7:40PM-7:45PM ET",UP,Up,2.0,0.21,,LOSS,NO,-2.0,Down,0x8342d05b2c1d7a76796b3a8fb66ee9b686333a50e1bd303f6af006f2a88bc869,1404495410832889750416659892528771264910204283801862506677729019926505541278
2026-04-16T23:45:08.903333+00:00,2026-04-16T23:53:35.713466+00:00,contrarian,"XRP Up or Down - April 16, 7:45PM-7:50PM ET",UP,Up,2.0,0.33,,LOSS,NO,-2.0,Down,0x419244fc15e794f187861ea030eb6fad674648c97acbc784a2680495af95726f,108933105801696020604438450666708311817846081127549391761017678088846403615833
2026-04-16T23:46:07.582481+00:00,2026-04-16T23:53:35.955162+00:00,contrarian,"Bitcoin Up or Down - April 16, 7:45PM-7:50PM ET",UP,Up,2.0,0.32,,LOSS,NO,-2.0,Down,0xa20bee0d8a822526f096189d4498dd0be8d8bf4fbe27ff6ed760da6f7256f983,99848102602960678467847906438343284627315100737740619725210796383299769032598
2026-04-16T23:46:07.587324+00:00,2026-04-16T23:55:36.630453+00:00,contrarian,"Ethereum Up or Down - April 16, 7:45PM-7:50PM ET",UP,Up,2.0,0.34,,LOSS,NO,-2.0,Down,0x41d1e1e47824955b3b6f6f70ca31197263a4e0025a78c28a4d06244058a60151,20235285979535115242468848404843175034853536415130227341076116965237393191082
2026-04-16T23:46:07.588711+00:00,2026-04-16T23:55:36.805052+00:00,contrarian,"Solana Up or Down - April 16, 7:45PM-7:50PM ET",UP,Up,2.0,0.25,,LOSS,NO,-2.0,Down,0x6c9674ebee8392d6d48c149f83116916d0abde717b17538465c383f580bfb57b,70377009741214558557769569991088953466623828449651934470204458596587193210442
2026-04-16T23:50:54.941926+00:00,2026-04-16T23:59:38.099138+00:00,contrarian,"XRP Up or Down - April 16, 7:50PM-7:55PM ET",DOWN,Down,2.0,0.35,,WIN,YES,3.7142857142857144,Down,0xa72294f3846577d5eb1783ab22694a8c758477c9b0828fce28a57bea13f69c0b,107712014544877083444476066175677618510804656257649556317788885450289369193509
2026-04-16T23:51:04.428444+00:00,2026-04-16T23:59:38.136542+00:00,contrarian,"Solana Up or Down - April 16, 7:50PM-7:55PM ET",UP,Up,2.0,0.31,,LOSS,NO,-2.0,Down,0x1d4a9f6460b5030397cb0ca933b0fcd2ffc3407038e786c21cb8be1c5e2c2b52,29519282433422233661235363768348097118891350740418772554550451515276210097079
2026-04-16T23:50:45.717231+00:00,2026-04-17T00:00:38.096591+00:00,contrarian,"Bitcoin Up or Down - April 16, 7:50PM-7:55PM ET",DOWN,Down,2.0,0.39,,WIN,YES,3.1282051282051277,Down,0x94a956dc9d98f206790ab9ad84b79e9c11595add33a732e0e96b67c8f80e02f9,56595374065487159129483690059208199426981583422945970219741259900691902161886
